match,innings,team_bowling,bowler,overs,maidens,runs,wickets,economy,dot_balls,wides,no_balls
IPL2026_M48,1st innings,Chennai Super Kings,Akeal Hosein,4,0,19,1,4.75,14,0,0
IPL2026_M48,1st innings,Chennai Super Kings,Mukesh Choudhary,4,0,31,1,7.75,10,1,0
IPL2026_M48,1st innings,Chennai Super Kings,Anshul Kamboj,4,0,49,0,12.25,7,0,0
IPL2026_M48,1st innings,Chennai Super Kings,Noor Ahmad,3,0,22,2,7.33,6,0,0
IPL2026_M48,1st innings,Chennai Super Kings,Gurjapneet Singh,4,0,29,1,7.25,7,1,0
IPL2026_M48,1st innings,Chennai Super Kings,Jamie Overton,1,0,5,1,5.00,1,0,0
IPL2026_M48,2nd innings,Delhi Capitals,Mitchell Starc,4,0,30,0,7.50,9,1,0
IPL2026_M48,2nd innings,Delhi Capitals,Axar Patel,4,0,25,1,6.25,12,1,0
IPL2026_M48,2nd innings,Delhi Capitals,Lungi Ngidi,4,0,30,1,7.50,12,1,0
IPL2026_M48,2nd innings,Delhi Capitals,Kuldeep Yadav,3,0,34,0,11.33,7,0,0
IPL2026_M48,2nd innings,Delhi Capitals,T Natarajan,2.3,0,39,0,15.60,4,0,0
